"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"California"	"06"	"2017"	"2017"	"Jul., 2017"	"2017/07"	114	Not Applicable	Not Applicable
	"California"	"06"	"2017"	"2017"	"Aug., 2017"	"2017/08"	112	Not Applicable	Not Applicable
	"California"	"06"	"2017"	"2017"	"Sep., 2017"	"2017/09"	114	Not Applicable	Not Applicable
	"California"	"06"	"2017"	"2017"	"Oct., 2017"	"2017/10"	156	Not Applicable	Not Applicable
	"California"	"06"	"2017"	"2017"	"Nov., 2017"	"2017/11"	95	Not Applicable	Not Applicable
	"California"	"06"	"2017"	"2017"	"Dec., 2017"	"2017/12"	125	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	"Jan., 2018"	"2018/01"	110	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	"Feb., 2018"	"2018/02"	108	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	"Mar., 2018"	"2018/03"	72	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	"Apr., 2018"	"2018/04"	102	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	"May, 2018"	"2018/05"	94	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	"Jun., 2018"	"2018/06"	122	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	"Jul., 2018"	"2018/07"	128	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	"Aug., 2018"	"2018/08"	114	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	"Sep., 2018"	"2018/09"	105	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	"Oct., 2018"	"2018/10"	104	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	"Nov., 2018"	"2018/11"	102	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	"Dec., 2018"	"2018/12"	114	Not Applicable	Not Applicable
	"California"	"06"	"2019"	"2019"	"Jan., 2019"	"2019/01"	108	Not Applicable	Not Applicable
	"California"	"06"	"2019"	"2019"	"Feb., 2019"	"2019/02"	83	Not Applicable	Not Applicable
	"California"	"06"	"2019"	"2019"	"Mar., 2019"	"2019/03"	99	Not Applicable	Not Applicable
	"California"	"06"	"2019"	"2019"	"Apr., 2019"	"2019/04"	87	Not Applicable	Not Applicable
	"California"	"06"	"2019"	"2019"	"May, 2019"	"2019/05"	110	Not Applicable	Not Applicable
	"California"	"06"	"2019"	"2019"	"Jun., 2019"	"2019/06"	126	Not Applicable	Not Applicable
	"California"	"06"	"2019"	"2019"	"Jul., 2019"	"2019/07"	110	Not Applicable	Not Applicable
	"California"	"06"	"2019"	"2019"	"Aug., 2019"	"2019/08"	100	Not Applicable	Not Applicable
	"California"	"06"	"2019"	"2019"	"Sep., 2019"	"2019/09"	115	Not Applicable	Not Applicable
	"California"	"06"	"2019"	"2019"	"Oct., 2019"	"2019/10"	120	Not Applicable	Not Applicable
	"California"	"06"	"2019"	"2019"	"Nov., 2019"	"2019/11"	94	Not Applicable	Not Applicable
